Date;text;approval_date
2017-04-22;committed keeping air water clean always remember economic growth enhances environmental protection jobs matter today earth day celebrate beautiful forests lakes land stand committed preserving natural beauty nation big tax reform tax reduction announced next wednesday next saturday night holding big rally pennsylvania look forward getting ready visit walter reed medical center melania looking forward seeing bravest greatest americans sb victories since honor give bob kraft coach belichick players first c presidential executive order identifying reducing tax regulatory burdens executive order c;41.42433
2017-04-23;popular vote abc news washington post poll wrong big election said almost stand vote said strong leader new polls today good considering much media fake almost always negative would still beat hillary eventually later date get started early mexico paying form badly needed border wall democrats want money budget going border wall despite fact stop drugs bad ms gang members obamacare serious trouble dems need big money keep going otherwise dies far sooner anyone would thought thank lake worth florida foxandfriends interesting election currently taking place france;41.98724
2017-04-24;today signed holocaust remembrance proclamation icymi statement last night c healthcare plan approved see real healthcare premiums start tumbling obamacare death spiral join congratulating nasa astropeggy using hashtag congratspeggy earlier today c wall built drug situation never fixed way buildthewall congratspeggy wall important tool stopping drugs pouring country poisoning youth many others two fake news polls released yesterday abc nbc containing positive info totally wrong general e watch;42.1408
2017-04-25;presidential executive order promoting agriculture rural prosperity america executive order c remarks united states holocaust memorial museum national days remembrance full remarks c let fake media tell changed position wall get built help stop drugs human trafficking etc canada made business dairy farmers wisconsin border states difficult stand watch proud ivankatrump leadership important issues looking forward hearing speak w;41.9548
2017-04-26;democrats trying bail insurance companies disastrous obamacare puerto rico tax dollars sad great great honor welcome recognize national teacher year well teacher year fro c today signed executive order enforcing statutory prohibitions federal control education eo c today signed executive order u dept interior review designations antiquities act c happy birthday flotus melania u recorded slowest economic growth five years gdp trade deficits hurt economy badly ninth circuit terrible record overturned close used call judge shopping messy system big country many choices everyone notice ban case sanctuary case brought first ninth circuit rules ban hits sanctuary cities ridiculous rulings see supreme court;41.99678
2017-04-27;today signed executive order improving accountability whistleblower protection deptvetaffairs c presidential memorandum commercegov secretaryross aluminum imports threats national security c flotus melania honored welcome argentina president mauriciomacri first lady juliana awada c families prepare summer vacations national parks democrats threaten close shut government terrible democrats used support border security want illegals pour borders democrats jeopardizing safety troops bail donors insurance companies time put americafirst important rebuilding military bailing insurance companies ask democrats promise rebuild military secure border democrats want shut government politics want help miners democrats blocking healthcare democrats want shut government bail puerto rico give billions insurance companies ocare failure subject fact reach fair deal terminate nafta relationships good deal possible received calls president mexico prime minister canada asking renegotiate nafta rather terminate agreed;41.98776
2017-04-28;north korea disrespected wishes china highly respected president launched though unsuccessfully missile today bad interviewed marthamaccallum foxnews tonight pm enjoy making tremendous progress v never much done quickly started love vets;41.87309000000001
2017-04-29;mainstream fake media refuses state long list achievements including legislative signings strong borders great optimism looking forward rally great state pennsylvania tonight big crowd big energy loudobbs stated president trump successes unmatched recent presidential history thank lou;41.99481
2017-04-30;healthcare plan way much lower premiums deductibles time taking care pre existing conditions compare anything obamacare obamacare dead dems want billions go insurance companies bail donors new democrats without leader become party obstruction interested best u big excitement last night great state pennsylvania fantastic crowd people make america great interviewed facethenation morning great day;42.38294000000001
2017-05-01;icymi saturday signed two eo help keep jobs wealth country eo eo c month celebrate contributions asian americans pacific islanders enrich nation;42.42966
